Monthly Teleconnection Index: East Pacific-North Pacific Pattern                                              
Indices are normalized using the 1981-2010 base period monthly means and standard deviations.

Values are set to -99.90 for calendar months when the pattern
is not normally a leading mode of variability.

The data is written in format(i4,3x,i2,1x,f6.2).

YEAR MONTH INDEX
1962    4   0.56
1962    5   0.26
1962    6   0.26
1962    7   0.16
1962    8  -0.22
1962    9  -0.15
1962   10   0.10
1962   11  -0.50
1962   12 -99.90
1963    1   1.00
1963    2   1.07
1963    3  -1.31
1963    4  -0.25
1963    5   0.57
1963    6  -2.46
1963    7  -1.71
1963    8   1.74
1963    9   1.02
1963   10  -1.47
1963   11  -0.95
1963   12 -99.90
1964    1  -1.95
1964    2  -2.52
1964    3  -1.39
1964    4  -2.03
1964    5   0.33
1964    6   1.90
1964    7  -2.58
1964    8   0.78
1964    9   0.16
1964   10   0.17
1964   11  -0.74
1964   12 -99.90
1965    1   0.60
1965    2  -0.93
1965    3   2.23
1965    4   1.02
1965    5   0.07
1965    6  -1.56
1965    7   0.75
1965    8   2.32
1965    9   2.26
1965   10   0.85
1965   11   0.21
1965   12 -99.90
1966    1  -0.36
1966    2  -0.55
1966    3  -0.94
1966    4   1.96
1966    5  -0.67
1966    6   0.23
1966    7  -0.57
1966    8   0.63
1966    9   1.58
1966   10   0.46
1966   11   0.74
1966   12 -99.90
1967    1  -0.22
1967    2  -0.56
1967    3   0.87
1967    4   0.14
1967    5   2.02
1967    6   0.88
1967    7  -0.12
1967    8   1.10
1967    9   0.35
1967   10  -0.24
1967   11  -0.03
1967   12 -99.90
1968    1  -0.24
1968    2  -0.65
1968    3   0.05
1968    4  -2.88
1968    5   1.07
1968    6  -0.73
1968    7   1.71
1968    8   0.75
1968    9  -0.91
1968   10  -0.33
1968   11  -0.16
1968   12 -99.90
1969    1   0.60
1969    2  -0.58
1969    3  -0.02
1969    4   0.32
1969    5   1.00
1969    6   3.19
1969    7  -1.13
1969    8  -0.14
1969    9   0.09
1969   10   1.67
1969   11  -0.11
1969   12 -99.90
1970    1   0.23
1970    2   0.61
1970    3   0.62
1970    4  -0.45
1970    5  -0.57
1970    6  -0.72
1970    7  -1.42
1970    8   0.93
1970    9  -0.27
1970   10  -0.72
1970   11  -0.05
1970   12 -99.90
1971    1   0.05
1971    2  -1.99
1971    3  -0.22
1971    4  -1.95
1971    5  -1.14
1971    6  -0.28
1971    7   2.19
1971    8   1.78
1971    9  -0.39
1971   10  -0.49
1971   11  -0.34
1971   12 -99.90
1972    1  -0.46
1972    2   0.15
1972    3  -1.36
1972    4  -1.52
1972    5   0.31
1972    6  -2.96
1972    7   2.20
1972    8   1.76
1972    9   0.93
1972   10   1.48
1972   11  -0.32
1972   12 -99.90
1973    1  -0.80
1973    2   0.95
1973    3  -1.94
1973    4   0.60
1973    5  -1.49
1973    6  -1.30
1973    7  -1.27
1973    8  -0.10
1973    9   0.68
1973   10  -0.62
1973   11  -0.27
1973   12 -99.90
1974    1  -0.65
1974    2  -1.12
1974    3   0.32
1974    4  -0.41
1974    5   0.03
1974    6  -2.29
1974    7  -1.52
1974    8   2.42
1974    9   2.56
1974   10   0.18
1974   11  -1.75
1974   12 -99.90
1975    1  -1.52
1975    2  -0.50
1975    3  -0.14
1975    4  -1.57
1975    5  -1.21
1975    6  -2.09
1975    7   0.60
1975    8   0.99
1975    9   0.81
1975   10  -0.56
1975   11  -1.14
1975   12 -99.90
1976    1  -0.30
1976    2   0.07
1976    3  -0.83
1976    4  -1.52
1976    5  -0.90
1976    6  -0.03
1976    7  -1.21
1976    8   0.23
1976    9   1.82
1976   10   1.53
1976   11   2.19
1976   12 -99.90
1977    1   0.75
1977    2  -1.40
1977    3  -1.44
1977    4   0.25
1977    5  -1.84
1977    6  -0.24
1977    7   0.03
1977    8   1.69
1977    9  -0.47
1977   10  -0.29
1977   11   0.05
1977   12 -99.90
1978    1   2.76
1978    2   0.48
1978    3   1.38
1978    4   0.82
1978    5  -0.23
1978    6   0.50
1978    7   1.70
1978    8   0.77
1978    9  -0.48
1978   10   0.43
1978   11   1.28
1978   12 -99.90
1979    1   2.12
1979    2  -0.18
1979    3   0.83
1979    4   0.66
1979    5  -0.87
1979    6  -0.48
1979    7  -0.24
1979    8   1.82
1979    9   0.58
1979   10   0.87
1979   11   0.92
1979   12 -99.90
1980    1   0.53
1980    2   0.86
1980    3   0.15
1980    4  -0.75
1980    5  -0.70
1980    6   1.59
1980    7  -0.35
1980    8  -0.15
1980    9   0.43
1980   10   1.24
1980   11   0.15
1980   12 -99.90
1981    1   1.02
1981    2  -0.03
1981    3   0.03
1981    4  -0.19
1981    5   0.48
1981    6  -0.82
1981    7  -0.94
1981    8   0.70
1981    9  -0.40
1981   10  -0.01
1981   11  -1.50
1981   12 -99.90
1982    1   1.11
1982    2   1.16
1982    3   0.41
1982    4  -0.98
1982    5  -1.29
1982    6   0.10
1982    7   0.44
1982    8   0.54
1982    9   0.54
1982   10  -0.57
1982   11   0.38
1982   12 -99.90
1983    1  -0.31
1983    2  -0.31
1983    3  -0.60
1983    4  -0.46
1983    5   0.63
1983    6  -0.95
1983    7  -1.67
1983    8  -1.43
1983    9  -0.56
1983   10  -0.57
1983   11  -0.50
1983   12 -99.90
1984    1  -0.97
1984    2  -1.41
1984    3   0.98
1984    4  -1.70
1984    5  -0.64
1984    6  -0.76
1984    7  -0.10
1984    8   0.85
1984    9   1.25
1984   10  -0.49
1984   11  -0.94
1984   12 -99.90
1985    1   1.00
1985    2  -2.41
1985    3  -0.67
1985    4  -1.64
1985    5  -0.31
1985    6  -0.75
1985    7   1.93
1985    8   1.15
1985    9  -0.22
1985   10  -0.75
1985   11   1.25
1985   12 -99.90
1986    1   0.52
1986    2   0.83
1986    3   0.07
1986    4  -1.56
1986    5  -1.17
1986    6   0.23
1986    7  -0.35
1986    8   2.55
1986    9   0.87
1986   10   1.35
1986   11   1.54
1986   12 -99.90
1987    1  -0.74
1987    2  -0.49
1987    3   0.73
1987    4  -0.68
1987    5  -0.26
1987    6  -1.09
1987    7   0.94
1987    8   0.97
1987    9   0.49
1987   10   1.20
1987   11  -0.67
1987   12 -99.90
1988    1   1.13
1988    2  -0.13
1988    3   0.26
1988    4  -0.63
1988    5  -1.16
1988    6  -0.93
1988    7   0.10
1988    8   0.44
1988    9  -0.19
1988   10   0.99
1988   11  -1.31
1988   12 -99.90
1989    1  -1.81
1989    2   2.34
1989    3   0.60
1989    4   1.29
1989    5   0.45
1989    6   0.09
1989    7  -1.23
1989    8   1.32
1989    9   0.66
1989   10   0.00
1989   11  -0.04
1989   12 -99.90
1990    1  -0.58
1990    2  -1.86
1990    3   0.03
1990    4   1.72
1990    5   0.21
1990    6   0.71
1990    7   0.88
1990    8  -0.39
1990    9   0.78
1990   10  -0.43
1990   11  -0.76
1990   12 -99.90
1991    1  -0.45
1991    2   0.31
1991    3  -0.38
1991    4  -0.14
1991    5  -1.13
1991    6   1.02
1991    7  -0.58
1991    8  -0.81
1991    9   1.20
1991   10   1.24
1991   11   1.01
1991   12 -99.90
1992    1  -0.17
1992    2   0.70
1992    3   1.28
1992    4   1.46
1992    5   1.02
1992    6  -0.14
1992    7   1.83
1992    8   0.43
1992    9  -0.87
1992   10   0.59
1992   11   0.30
1992   12 -99.90
1993    1  -0.65
1993    2   2.12
1993    3   0.21
1993    4   0.71
1993    5   0.37
1993    6   1.59
1993    7   0.73
1993    8   0.66
1993    9   2.48
1993   10   2.44
1993   11   0.31
1993   12 -99.90
1994    1   2.38
1994    2   0.47
1994    3  -1.06
1994    4   0.98
1994    5  -0.76
1994    6  -0.14
1994    7   0.90
1994    8   0.83
1994    9   0.24
1994   10  -0.40
1994   11  -2.04
1994   12 -99.90
1995    1   1.03
1995    2   0.05
1995    3   0.61
1995    4   1.13
1995    5   0.72
1995    6   0.02
1995    7   1.11
1995    8  -0.92
1995    9   1.90
1995   10  -0.32
1995   11   1.07
1995   12 -99.90
1996    1   0.26
1996    2   0.27
1996    3   2.41
1996    4   0.07
1996    5   1.15
1996    6  -0.96
1996    7  -0.17
1996    8   0.92
1996    9  -0.02
1996   10  -0.54
1996   11   1.61
1996   12 -99.90
1997    1   0.22
1997    2  -0.03
1997    3  -0.06
1997    4   1.70
1997    5   2.43
1997    6  -0.56
1997    7  -1.32
1997    8  -0.08
1997    9   0.36
1997   10   0.10
1997   11   0.65
1997   12 -99.90
1998    1   0.62
1998    2  -0.33
1998    3   1.31
1998    4  -0.49
1998    5  -1.36
1998    6   0.23
1998    7   0.12
1998    8  -1.67
1998    9  -0.52
1998   10  -1.27
1998   11  -0.52
1998   12 -99.90
1999    1  -0.89
1999    2  -1.12
1999    3  -0.73
1999    4  -0.57
1999    5  -0.69
1999    6  -1.44
1999    7   0.34
1999    8   0.32
1999    9  -0.44
1999   10  -0.24
1999   11  -1.33
1999   12 -99.90
2000    1  -0.92
2000    2  -0.55
2000    3  -0.40
2000    4   0.08
2000    5  -0.62
2000    6  -0.24
2000    7  -1.26
2000    8   0.63
2000    9   0.49
2000   10  -0.72
2000   11   0.20
2000   12 -99.90
2001    1  -0.90
2001    2   0.26
2001    3  -1.16
2001    4   0.06
2001    5  -1.42
2001    6   0.55
2001    7  -1.30
2001    8  -1.17
2001    9  -0.46
2001   10  -0.04
2001   11  -0.33
2001   12 -99.90
2002    1  -0.11
2002    2  -0.89
2002    3   1.99
2002    4   0.45
2002    5   1.52
2002    6  -0.20
2002    7  -0.69
2002    8  -0.07
2002    9  -0.40
2002   10   1.77
2002   11   2.05
2002   12 -99.90
2003    1   2.07
2003    2   0.94
2003    3   0.56
2003    4   0.34
2003    5  -0.57
2003    6   0.17
2003    7  -0.14
2003    8  -1.46
2003    9  -0.70
2003   10   0.85
2003   11  -0.11
2003   12 -99.90
2004    1   0.66
2004    2  -0.50
2004    3  -1.28
2004    4   1.23
2004    5   1.92
2004    6   3.36
2004    7   1.19
2004    8   0.07
2004    9  -2.21
2004   10  -0.71
2004   11  -0.26
2004   12 -99.90
2005    1   0.73
2005    2  -0.29
2005    3   0.31
2005    4   0.81
2005    5   0.09
2005    6   1.43
2005    7  -1.11
2005    8  -0.60
2005    9  -1.98
2005   10  -1.60
2005   11   0.35
2005   12 -99.90
2006    1  -1.07
2006    2   0.57
2006    3   0.20
2006    4  -1.57
2006    5  -0.31
2006    6  -0.49
2006    7  -0.46
2006    8   0.13
2006    9   0.47
2006   10   0.97
2006   11  -0.38
2006   12 -99.90
2007    1  -1.14
2007    2   0.93
2007    3  -1.27
2007    4  -0.19
2007    5  -0.67
2007    6   0.00
2007    7   0.49
2007    8  -0.67
2007    9  -1.29
2007   10  -1.96
2007   11   0.68
2007   12 -99.90
2008    1  -1.25
2008    2  -0.40
2008    3  -1.62
2008    4  -0.50
2008    5   0.21
2008    6  -1.13
2008    7  -1.13
2008    8  -0.36
2008    9  -0.11
2008   10  -1.00
2008   11   0.65
2008   12 -99.90
2009    1  -0.18
2009    2   0.32
2009    3  -1.12
2009    4   0.49
2009    5   1.31
2009    6  -0.39
2009    7   1.65
2009    8  -1.39
2009    9  -1.02
2009   10   0.70
2009   11  -1.62
2009   12 -99.90
2010    1  -0.58
2010    2  -0.51
2010    3  -1.63
2010    4  -1.21
2010    5  -0.15
2010    6   1.50
2010    7  -0.22
2010    8  -1.48
2010    9  -0.34
2010   10  -0.58
2010   11   0.27
2010   12 -99.90
2011    1  -0.42
2011    2  -0.12
2011    3  -0.03
2011    4  -0.63
2011    5  -1.18
2011    6  -0.48
2011    7  -2.23
2011    8  -0.67
2011    9  -0.53
2011   10  -0.81
2011   11  -1.34
2011   12 -99.90
2012    1  -1.92
2012    2  -0.33
2012    3  -2.59
2012    4   0.31
2012    5  -1.46
2012    6  -0.95
2012    7  -1.01
2012    8   0.63
2012    9   0.16
2012   10   0.58
2012   11   0.12
2012   12 -99.90
2013    1   0.12
2013    2  -0.88
2013    3   0.70
2013    4   1.24
2013    5  -0.26
2013    6   1.68
2013    7   0.93
2013    8  -1.09
2013    9  -1.44
2013   10   0.99
2013   11   1.16
2013   12 -99.90
2014    1   1.11
2014    2   0.31
2014    3   1.24
2014    4   0.05
2014    5   0.77
2014    6  -0.69
2014    7   0.33
2014    8  -1.03
2014    9   0.20
2014   10  -0.66
2014   11   3.21
2014   12 -99.90
2015    1   1.27
2015    2   1.18
2015    3   1.13
2015    4  -0.35
2015    5   0.49
2015    6   1.72
2015    7   0.23
2015    8  -0.28
2015    9  -1.38
2015   10   0.33
2015   11  -0.94
2015   12 -99.90
2016    1  -0.35
2016    2   0.23
2016    3   0.24
2016    4   1.47
2016    5   0.14
2016    6   1.26
2016    7  -0.36
2016    8  -0.42
2016    9  -1.41
2016   10  -0.84
2016   11  -1.43
2016   12 -99.90
2017    1   0.39
2017    2   0.21
2017    3  -1.04
2017    4   1.04
2017    5  -0.72
2017    6   0.50
2017    7   0.00
2017    8  -1.65
2017    9  -0.46
2017   10  -0.58
2017   11   0.41
2017   12 -99.90
2018    1   0.66
2018    2   0.23
2018    3   0.30
2018    4  -0.18
2018    5  -0.98
2018    6   0.05
2018    7  -0.16
2018    8  -0.78
2018    9  -0.83
2018   10   1.17
2018   11   1.42
2018   12 -99.90
2019    1   1.07
2019    2   1.20
2019    3   2.11
2019    4   0.67
2019    5   0.32
2019    6   1.74
2019    7   0.10
2019    8  -1.18
2019    9  -1.50
2019   10  -0.47
2019   11   1.93
2019   12 -99.90
2020    1  -0.60
2020    2  -1.79
2020    3   0.44
2020    4   1.54
2020    5   0.04
2020    6  -0.69
2020    7  -1.97
2020    8  -2.39
